Date;Test;Material;Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Sand size (um);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TE3 (°C);TE4 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);VG3(m/min);VG4(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg2(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%)
02/03/2021;P21-30;COPET GP001-EASTMAN;36;0.4;4/1;60;;;4;10;23.9;280;285;285;290;295;95.2;69.1;968;1005;1701;1751;1780;1845;;85;110;110;20;24;1.4;155;0.54;44.94
03/03/2021;P21-34;COPET GP001-EASTMAN;48;0.4;4/1;60;2;500-850;2;18;38.58;280;280;280;285;285;99.6;73.5;949;999;1751;1810;1834;1895;17;85;100;80;30;24;1.5;2801;1.41;62.04
03/03/2021;P21-35;COPET GP001-EASTMAN;48;0.4;4/1;60;2;500-850;2;10.7;30.2;280;280;280;285;285;79.1;75;949;999;1751;1810;1834;1895;14;85;100;80;30;24;1.5;170;1.64;64.69
03/03/2021;P21-36;COPET GP001-EASTMAN;48;0.4;4/1;60;2;500-850;2;10.7;30.7;280;280;280;285;285;79.1;75;949;999;1909;1961;1991;2060;14;85;100;90;30;24;1.5;160;1.67;73.79
03/03/2021;P21-37;COPET GP001-EASTMAN;48;0.4;4/1;60;2;500-850;2;10.7;30.7;280;280;280;285;285;79.1;75;949;999;1989;2132;2167;2230;14;85;100;90;30;24;1.5;140;1.99;44.83
10/03/2021;P21-38;PLA 6100D NATUREWORKS;36;0.3;2/1;60;;;;15;50;225;215;220;230;235;8;75;2600;2700;2820;2975;2960;3055;21;;;;20;20;1.3;135;2.08;55.33
10/03/2021;P21-39;PLA 6100D NATUREWORKS;36;0.3;2/1;60;;;;15;43;225;215;220;230;235;35;75;2600;2700;2820;2975;2960;3050;21;;;;20;20;1.3;135;2.3;50.3
30/03/2021;P21-40;PET + 3% Antivirico SUKANO;72;0.3;2/1;34;3;355-500;2;20;64;275;280;285;285;290;91.1;75;2695;2765;2765;2695;2695;2780;18;;;;24;20;1.5;218;2.28;92.61
30/03/2021;P21-41;PET + 3% Antivirico SUKANO;72;0.3;2/1;34;3;355-500;2;18;58.4;275;280;285;285;290;87.8;75;2695;2765;2765;2695;2695;2780;16;;;;24;20;1.5;200;2.37;97.11
01/04/2021;P21-42;PET + 3% Antivirico SUKANO;72;0.3;2/1;60;3;355-500;2;20;58.94;270;280;284;285;285;91.3;76.8;2695;2765;2765;2695;2695;2790;16;;;;20;24;1.4;215;2.37;101.72
01/04/2021;P21-43;PET + 3% Antivirico SUKANO;72;0.3;2/1;60;3;355-500;2;16;56;270;280;284;285;285;87.8;72;2695;2765;2765;2695;2695;2790;16;;;;20;24;1.4;170;2.47;96.89
01/04/2021;P21-44;PET + 3% Antivirico SUKANO;72;0.3;2/1;60;3;355-500;2;16;80;250;260;265;270;270;25;60;2695;2765;2765;2695;2695;2790;16;;;;20;24;1.4;170;2.06;123.89
14/05/2021;P21-53;PET + 1% Bactiblock 101 R4.47;72;0.3;2/1;178;2;355-500;2;20;65;280;285;285;290;290;81.3;75;2499;2599;2649;2651;2651;2740;;;;;30;24;1.35;220;1.7;120
14/05/2021;P21-54;PET + 1% Bactiblock 101 R4.47;72;0.3;2/1;178;2;355-500;2;20;80.1;270;276;278;280;280;40.9;51.2;2201;2361;2379;2289;2299;2370;;;;;30;26;1.35;250;1.38;204
24/05/2021;P21-55;PP HS61R;12;0.5;4/1;;;;2;20;44;195;195;200;200;200;0;75;1252;1549;1900;1991;1971;2000;25;;;;60;22;2.25;210;2.33;226.67
24/05/2021;P21-56;PP HS61R;12;0.5;4/1;;;;2;27;44;195;195;200;200;200;0;75;1252;1549;1900;1991;1971;2000;25;;;;60;22;2.25;290;1.68;223.5
24/05/2021;P21-57;PP HS61R;12;0.5;4/1;;;;2;27;44;195;195;200;200;200;0;75;1252;1951;2450;2651;2558;2595;25;;;;60;22;2.25;220;2.22;96.17
24/05/2021;P21-58;PP HS61R;12;0.5;4/1;;;;2;30;44;195;195;200;200;200;0;75;1252;1951;2450;2651;2558;2595;25;;;;60;22;2.25;240;1.83;62.83
24/05/2021;P21-59;PP HS61R;12;0.5;4/1;;;;2;33;44;195;195;200;200;200;3.6;75;1252;1951;2450;2651;2558;2595;25;;;;60;22;2.25;270;2.4;89.58
24/05/2021;P21-60;PP HS61R;12;0.5;4/1;;;;2;33;58.5;195;195;200;200;200;3.1;75;1252;2099;2349;2651;2558;2595;25;;;;80;24;2.25;270;2.02;98.25
01/06/2021;P21-61;PP HS61R;12;0.5;4/1;178;2;500-800;2;33;60;205;205;210;215;215;53;75;1252;2099;2349;2661;2558;2595;;;;;90;24;2.25;270;1.54;90.33
01/06/2021;P21-62;PP HS61R;12;0.5;4/1;178;2;500-800;2;33;60;190;200;210;210;210;34;75;1399;2489;2501;2661;2558;2595;;;;;100;22;2.25;240;1.41;108.6
10/06/2021;P21-63;PP 561R;72;0.35;4/1;178;;;;35;63;190;200;210;210;210;16;75;1800;2489;2501;2661;2558;2595;;;;;60;22;1.5;290;2.36;166.5
10/06/2021;P21-64;PP 561R;72;0.35;4/1;178;;;;50;83;190;200;210;210;210;3;75;1599;2501;2551;2700;2602;2640;;60;;;80;22;2.25;410;2.74;165.27
15/06/2021;P21-65;PP H561R;36;0.35;4/1;178;;;;25;50;190;200;210;210;210;0;75;1852;2099;2349;2680;2548;2580;;;;;70;22;2.25;210;3.18;126.33
15/06/2021;P21-66;PP H561R;36;0.35;4/1;178;;;;29;58;190;200;210;210;210;0;75;1852;2099;2349;2680;2548;2580;;;;;70;22;2.25;240;3.05;122.75
22/06/2021;P21-68;PP H561R;12;0.5;4/1;60;;300-800;2;29;62;205;220;225;230;235;18.9;70;1252;2099;2349;2661;2558;2590;16;;;;95;24;2.25;245;1.91;96.81
22/06/2021;P21-69;PP H561R;12;0.5;4/1;60;;300-800;2;29;65;210;220;225;225;220;18;70;1252;2099;2349;2661;2558;2590;20;;;;95;24;2.25;225;2.04;102.67
22/06/2021;P21-70;PP H561R;12;0.5;4/1;60;;300-800;2;30;65;210;220;225;225;220;17.4;70;1252;2099;2349;2661;2558;2590;20;;;;95;24;2.25;230;1.84;86.44
22/06/2021;P21-71;PP H561R;12;0.5;4/1;60;;300-800;2;31;66;210;220;225;225;220;27.5;70;1252;2099;2349;2661;2558;2590;24;;;;95;24;2.25;240;1.99;117.28
23/06/2021;P21-73;rPET + CO2 Pure;72;0.3;2/1;60;;;;18.6;59;275;280;285;285;285;25.6;70;1500;1650;2550;2563;2617;2700;20;90;105;125;30;22;1.35;205;2.9;62.93
23/06/2021;P21-74;rPET + CO2 Pure;72;0.3;2/1;60;;;;20;60;275;280;285;285;285;29;70;1500;1650;2550;2563;2617;2700;20;90;105;125;30;22;1.35;220;2.9;62.93
