material,PROC_N_holes_ N_filaments,PROC_Diameter(mm),PROC_L,PROC_D,PROC_Vpump(rpm),PROC_Vext(rpm),PROC_TE1(C),PROC_TE2(C),PROC_TE3(C),PROC_TE4(C),PROC_TD(C),PROC_Pd(bar),PROC_Pe(bar),PROC_VTO(m/min),PROC_VG1(m/min),PROC_VG2(m/min),PROC_VG3(m/min),PROC_VG4(m/min),PROC_Vwinder (m/min),HIDDEN_PROC_Tension,HIDDEN_PROC_TG1(C),HIDDEN_PROC_TG2(C),HIDDEN_PROC_TG3(C),HIDDEN_PROC_Quench(pc),HIDDEN_PROC_Spin(rpm),PERF_Count(dtex),PERF_Tenacity(g/den),PERF_Elongation (pc)
PET HAC,72,0.3,2,1,19,40,285,290,295,,300,,,2560,2580,3125,3390,3360,3550,,,,,,,150,3.8,30
PP HP 561R,12,0.5,4,1,33,58.5,195,195,200,,200,,,1252,2099,2349,2661,2558,2590,,,,,,,270,2.02,98.25
PLA L130,36,0.3,2,1,20,44,225,215,220,,235,,,2600,2700,2820,2980,2960,3050,,,,,,,180,2.25,51.87
CoPET,72,0.3,2,1,21,47,250,265,265,,270,,,800,980,2700,2950,2940,3050,,,,,,,195,2.94,31.17
PP HP 561S,72,0.6,4,1,33,80,230,230,235,,240,,,525,560,1770,2120,2010,2080,,,,,,,330,3.72,80.3
PTT,36,0.3,2,1,32,37,250,260,265,,270,,,2201,2364,2421,2499,2475,2560,,,,,,,370,1.93,110
PA B33L,36,0.4,4,1,19,33,255,265,275,,280,,,2431,2516,2525,2465,2460,2530,,,,,,,180,2.55,90
PA H24,72,0.2,4,1,10,80,250,255,260,,265,,,1262,1906,2105,2382,2406,2500,,,,,,,110,2.96,54
COPET GP001-EAST,36,0.4,4,1,10,23.4,280,285,285,290,295,95.2,69.1,968,1005,1701,1751,1780,1845,,85,110,110,20,24,155,0.54,44.94
COPET GP001-EAST,48,0.4,4,1,18,38.58,280,280,280,285,285,99.6,73.5,949,999,1751,1810,1834,1895,,85,100,80,30,24,280,1.4,62.04
COPET GP001-EAST,48,0.4,4,1,10.7,30.2,280,280,280,285,285,79.1,75,949,999,1751,1810,1834,1895,17,85,100,80,30,24,170,1.64,64.69
COPET GP001-EAST,48,0.4,4,1,10.7,30.7,280,280,280,285,285,79.1,75,949,999,1904,1961,1991,2060,14,85,100,90,30,24,160,1.67,73.79
COPET GP001-EAST,48,0.4,4,1,10.8,30.7,280,280,280,285,285,79.1,75,949,999,1989,2132,2167,2230,14,85,100,90,30,24,140,1.99,44.83
PLA BLOOD Natureworks,36,0.3,2,1,15,50,225,215,220,230,235,8,75,2600,2700,2820,2975,2960,3055,21,,,,20,20,135,2.08,55.35
PLA BLOOD Natureworks,36,0.3,2,1,15,43,225,215,220,230,235,35,75,2600,2700,2820,2975,2960,3050,21,,,,20,20,135,2.3,50.3
PET + 3pc SORANO Antivirico,72,0.3,2,1,20,64,275,280,285,285,290,91.1,75,2695,2765,2765,2695,2695,2780,19,,,,24,20,218,2.28,92.61
PET + 3pc SORANO Antivirico,72,0.3,2,1,18,58.4,275,280,285,285,290,87.8,75,2695,2765,2765,2695,2695,2780,16.5,,,,24,20,200,2.37,97.11
PET + 3pc SORANO Antivirico,72,0.3,2,1,20,58.94,270,280,284,285,285,91.3,76.8,2695,2765,2765,2695,2695,2780,16,,,,20,24,215,2.37,101.72
PET + 3pc SORANO Antivirico,72,0.3,2,1,16,56,270,280,284,285,285,87.8,72,2695,2765,2765,2695,2695,2780,16,,,,20,24,170,2.47,96.89
PET + 3pc SORANO Antivirico,72,0.3,2,1,16,85,250,260,265,270,280,25,60,2695,2765,2765,2695,2695,2780,16,,,,20,24,170,2.06,123.89
PET + 1pc Bactiblock 101 R4.47,72,0.3,2,1,20,65,280,285,285,290,290,81.3,75,2499,2599,2649,2651,2651,2740,,,,,30,24,220,1.7,120
PET + 1pc Bactiblock 101 R4.47,72,0.3,2,1,20,80.1,270,276,278,280,280,40.4,51.2,2201,2361,2379,2289,2299,2370,,,,,30,26,250,1.38,204
PP HP 561R,12,0.5,4,1,20,44,195,195,200,200,200,0,75,1252,1549,1800,1991,1971,2000,25,,,,60,22,210,2.33,226.67
PP HP 561R,12,0.5,4,1,27,44,195,195,200,200,200,0,75,1252,1549,1800,1991,1971,2000,25,,,,60,22,290,1.68,223.5
PP HP 561R,12,0.5,4,1,27,44,195,195,200,200,200,0,75,1252,1951,2450,2651,2558,2595,25,,,,60,22,220,2.11,96.17
PP HP 561R,12,0.5,4,1,30,44,195,195,200,200,200,0,75,1252,1951,2450,2651,2558,2595,25,,,,60,22,240,1.83,62.83
PP HP 561R,12,0.5,4,1,33,44,195,195,200,200,200,3.6,75,1252,1951,2450,2651,2558,2595,25,,,,60,22,270,2.4,89.58
