Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%);Sand size min (um);Sand size max (um);Cluster;density [gr/cm^3];Tenacity (MPa)
12.0;0.5;4.0;88.6010101010101;2.5633187772925763;2.0;20.0;44.0;195.0;195.0;200.0;0.0;75.0;1252.0;1549.0;1900.0;2000.0;25.0;85.53254437869822;111.51612903225806;60.0;22.0;2.25;210;2.33;226.67;560.5744680851063;375.3404255319149;PP;0.905;185.98293
12.0;0.5;4.0;88.6010101010101;2.5633187772925763;2.0;27.0;44.0;195.0;195.0;200.0;0.0;75.0;1252.0;1549.0;1900.0;2000.0;25.0;85.53254437869822;111.51612903225806;60.0;22.0;2.25;290;1.68;223.5;560.5744680851063;375.3404255319149;PP;0.905;134.09928
12.0;0.5;4.0;88.6010101010101;2.5633187772925763;2.0;27.0;44.0;195.0;195.0;200.0;0.0;75.0;1252.0;1951.0;2450.0;2595.0;25.0;85.53254437869822;111.51612903225806;60.0;22.0;2.25;220;2.22;96.17;560.5744680851063;375.3404255319149;PP;0.905;177.20262
12.0;0.5;4.0;88.6010101010101;2.5633187772925763;2.0;30.0;44.0;195.0;195.0;200.0;0.0;75.0;1252.0;1951.0;2450.0;2595.0;25.0;85.53254437869822;111.51612903225806;60.0;22.0;2.25;240;1.83;62.83;560.5744680851063;375.3404255319149;PP;0.905;146.07243
12.0;0.5;4.0;88.6010101010101;2.5633187772925763;2.0;33.0;44.0;195.0;195.0;200.0;3.6;75.0;1252.0;1951.0;2450.0;2595.0;25.0;85.53254437869822;111.51612903225806;60.0;22.0;2.25;270;2.4;89.58;560.5744680851063;375.3404255319149;PP;0.905;191.5704
12.0;0.5;4.0;88.6010101010101;2.5633187772925763;2.0;33.0;58.5;195.0;195.0;200.0;3.1;75.0;1252.0;2099.0;2349.0;2595.0;25.0;85.53254437869822;111.51612903225806;80.0;24.0;2.25;270;2.02;98.25;560.5744680851063;375.3404255319149;PP;0.905;161.23842000000002
12.0;0.5;4.0;178.0;2.0;2.0;33.0;60.0;205.0;205.0;215.0;53.0;75.0;1252.0;2099.0;2349.0;2595.0;17.035897435897436;85.53254437869822;111.51612903225806;90.0;24.0;2.25;270;1.54;90.33;800.0;500.0;PP;0.905;122.92434
12.0;0.5;4.0;178.0;2.0;2.0;33.0;60.0;190.0;200.0;210.0;34.0;75.0;1399.0;2489.0;2501.0;2595.0;17.035897435897436;85.53254437869822;111.51612903225806;100.0;22.0;2.25;240;1.41;108.6;800.0;500.0;PP;0.905;112.54760999999999
72.0;0.35;4.0;178.0;2.5633187772925763;35.612648221343875;35.0;63.0;190.0;200.0;210.0;16.0;75.0;1800.0;2489.0;2501.0;2595.0;17.035897435897436;85.53254437869822;111.51612903225806;60.0;22.0;1.5;290;2.36;166.5;560.5744680851063;375.3404255319149;PP;0.905;188.37756
72.0;0.35;4.0;178.0;2.5633187772925763;35.612648221343875;50.0;83.0;190.0;200.0;210.0;3.0;75.0;1599.0;2501.0;2551.0;2640.0;17.035897435897436;60.0;111.51612903225806;80.0;22.0;2.25;410;2.74;165.27;560.5744680851063;375.3404255319149;PP;0.905;218.70954
36.0;0.35;4.0;178.0;2.5633187772925763;35.612648221343875;25.0;50.0;190.0;200.0;210.0;0.0;75.0;1852.0;2099.0;2349.0;2580.0;17.035897435897436;85.53254437869822;111.51612903225806;70.0;22.0;2.25;210;3.18;126.33;560.5744680851063;375.3404255319149;PP;0.905;253.83078
36.0;0.35;4.0;178.0;2.5633187772925763;35.612648221343875;29.0;58.0;190.0;200.0;210.0;0.0;75.0;1852.0;2099.0;2349.0;2580.0;17.035897435897436;85.53254437869822;111.51612903225806;70.0;22.0;2.25;240;3.05;122.75;560.5744680851063;375.3404255319149;PP;0.905;243.45405
12.0;0.5;4.0;60.0;2.5633187772925763;2.0;29.0;62.0;205.0;220.0;235.0;18.9;70.0;1252.0;2099.0;2349.0;2590.0;16.0;85.53254437869822;111.51612903225806;95.0;24.0;2.25;245;1.91;96.81;800.0;300.0;PP;0.905;152.45811
12.0;0.5;4.0;60.0;2.5633187772925763;2.0;29.0;65.0;210.0;220.0;220.0;18.0;70.0;1252.0;2099.0;2349.0;2590.0;20.0;85.53254437869822;111.51612903225806;95.0;24.0;2.25;225;2.04;102.67;800.0;300.0;PP;0.905;162.83484
12.0;0.5;4.0;60.0;2.5633187772925763;2.0;30.0;65.0;210.0;220.0;220.0;17.4;70.0;1252.0;2099.0;2349.0;2590.0;20.0;85.53254437869822;111.51612903225806;95.0;24.0;2.25;230;1.84;86.44;800.0;300.0;PP;0.905;146.87063999999998
12.0;0.5;4.0;60.0;2.5633187772925763;2.0;31.0;66.0;210.0;220.0;220.0;27.5;70.0;1252.0;2099.0;2349.0;2590.0;24.0;85.53254437869822;111.51612903225806;95.0;24.0;2.25;240;1.99;117.28;800.0;300.0;PP;0.905;158.84379
