Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%);Sand size min (um);Sand size max (um);Material;Cluster
36.0;0.4;4.0;60.0;2.5633187772925763;4.0;10.0;23.9;280.0;285.0;295.0;95.2;69.1;968.0;1005.0;1701.0;1845.0;17.035897435897436;85.0;110.0;20.0;24.0;1.4;155;0.54;44.94;560.5744680851063;375.3404255319149;COPET GP001-EASTMAN;cluster-1
48.0;0.4;4.0;60.0;2.0;2.0;10.7;30.2;280.0;280.0;285.0;79.1;75.0;949.0;999.0;1751.0;1895.0;14.0;85.0;80.0;30.0;24.0;1.5;170;1.64;64.69;850.0;500.0;COPET GP001-EASTMAN;cluster-1
48.0;0.4;4.0;60.0;2.0;2.0;10.7;30.7;280.0;280.0;285.0;79.1;75.0;949.0;999.0;1909.0;2060.0;14.0;85.0;90.0;30.0;24.0;1.5;160;1.67;73.79;850.0;500.0;COPET GP001-EASTMAN;cluster-1
48.0;0.4;4.0;60.0;2.0;2.0;10.7;30.7;280.0;280.0;285.0;79.1;75.0;949.0;999.0;1989.0;2230.0;14.0;85.0;90.0;30.0;24.0;1.5;140;1.99;44.83;850.0;500.0;COPET GP001-EASTMAN;cluster0
36.0;0.3;2.0;60.0;2.5633187772925763;35.612648221343875;15.0;50.0;225.0;215.0;235.0;8.0;75.0;2600.0;2700.0;2820.0;3055.0;21.0;85.53254437869822;111.51612903225806;20.0;20.0;1.3;135;2.08;55.33;560.5744680851063;375.3404255319149;PLA 6100D NATUREWORKS;cluster0
36.0;0.3;2.0;60.0;2.5633187772925763;35.612648221343875;15.0;43.0;225.0;215.0;235.0;35.0;75.0;2600.0;2700.0;2820.0;3050.0;21.0;85.53254437869822;111.51612903225806;20.0;20.0;1.3;135;2.3;50.3;560.5744680851063;375.3404255319149;PLA 6100D NATUREWORKS;cluster0
72.0;0.3;2.0;34.0;3.0;2.0;20.0;64.0;275.0;280.0;290.0;91.1;75.0;2695.0;2765.0;2765.0;2780.0;18.0;85.53254437869822;111.51612903225806;24.0;20.0;1.5;218;2.28;92.61;500.0;355.0;PET + 3% Antivirico SUKANO;cluster1
72.0;0.3;2.0;34.0;3.0;2.0;18.0;58.4;275.0;280.0;290.0;87.8;75.0;2695.0;2765.0;2765.0;2780.0;16.0;85.53254437869822;111.51612903225806;24.0;20.0;1.5;200;2.37;97.11;500.0;355.0;PET + 3% Antivirico SUKANO;cluster1
72.0;0.3;2.0;60.0;3.0;2.0;20.0;58.94;270.0;280.0;285.0;91.3;76.8;2695.0;2765.0;2765.0;2790.0;16.0;85.53254437869822;111.51612903225806;20.0;24.0;1.4;215;2.37;101.72;500.0;355.0;PET + 3% Antivirico SUKANO;cluster1
72.0;0.3;2.0;60.0;3.0;2.0;16.0;56.0;270.0;280.0;285.0;87.8;72.0;2695.0;2765.0;2765.0;2790.0;16.0;85.53254437869822;111.51612903225806;20.0;24.0;1.4;170;2.47;96.89;500.0;355.0;PET + 3% Antivirico SUKANO;cluster-1
